behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Ductile,ANSI,Copper Alloy,Copper Alloy C16500,,276000000,97000000,53,,,108000000000,40000000000,0.35,8930,,15168600000
Ductile,ANSI,Copper Alloy,Copper Alloy C17000,,483000000,221000000,45,,,108000000000,40000000000,0.35,8930,,10935000000
Ductile,ANSI,Copper Alloy,Copper Alloy C17300,,469000000,172000000,48,,,108000000000,40000000000,0.35,8930,,12441600000
Ductile,ANSI,Copper Alloy,Copper Alloy C17500,,310000000,172000000,28,,,108000000000,40000000000,0.35,8930,,4233600000
Ductile,ANSI,Copper Alloy,Copper Alloy C18200,,234000000,97000000,40,,,108000000000,40000000000,0.35,8930,,8640000000
Ductile,ANSI,Copper Alloy,Copper Alloy C18900,,262000000,62000000,48,,,108000000000,40000000000,0.35,8930,,12441600000
Ductile,ANSI,Copper Alloy,Copper Alloy C19000,,262000000,138000000,50,,,108000000000,40000000000,0.35,8930,,13500000000
Ductile,ANSI,Copper Alloy,Copper Alloy C19100,,248000000,69000000,27,,,108000000000,40000000000,0.35,8930,,3936600000
Ductile,ANSI,Copper Alloy,Copper Alloy C19200,,255000000,76000000,40,,,108000000000,40000000000,0.35,8930,,8640000000
Ductile,ANSI,Copper Alloy,Copper Alloy C19400,,310000000,165000000,32,,,108000000000,40000000000,0.35,8930,,5529600000
Ductile,ANSI,Copper Alloy,Copper Alloy C19500,,552000000,448000000,15,,,108000000000,40000000000,0.35,8930,,1215000000
Ductile,ANSI,Copper Alloy,Copper Alloy C21000,,234000000,69000000,45,,,108000000000,40000000000,0.35,8930,,10935000000
Ductile,ANSI,,Commercial bronze C22000,,255000000,69000000,50,,,105000000000,40000000000,0.32,8800,,13125000000
Ductile,ANSI,,Red brass C23000,,269000000,69000000,55,,,105000000000,40000000000,0.32,8800,,15881250000
Ductile,ANSI,,Low brass C24000,,290000000,83000000,55,,,105000000000,40000000000,0.32,8800,,15881250000
Ductile,ANSI,,Cartridge brass C26000,,303000000,76000000,66,,,105000000000,40000000000,0.32,8800,,22869000000
Ductile,ANSI,,Yellow brass C26800,,317000000,97000000,65,,,105000000000,40000000000,0.32,8800,,22181250000
Ductile,ANSI,,Muntz metal C28000,,372000000,145000000,52,,,105000000000,40000000000,0.32,8800,,14196000000
Ductile,ANSI,,Leaded commercial bronze C31400,,255000000,83000000,45,,,105000000000,40000000000,0.32,8800,,10631250000
Ductile,ANSI,,Low-leaded brass C33000,,324000000,103000000,60,,,105000000000,40000000000,0.32,8800,,18900000000
Ductile,ANSI,,High-leaded brass C34200,,338000000,117000000,52,,,105000000000,40000000000,0.32,8800,,14196000000
Ductile,ANSI,,Medium-leaded brass C35000,,310000000,90000000,66,,,105000000000,40000000000,0.32,8800,,22869000000
Ductile,ANSI,,Leaded Muntz metal C36500,As hot rolled,372000000,138000000,45,,,105000000000,40000000000,0.32,8800,,10631250000
Ductile,ANSI,,Architectural bronze C38500,As extruded,414000000,138000000,30,,,105000000000,40000000000,0.32,8800,,4725000000
Ductile,ANSI,Copper Alloy,Copper Alloy C40500,,269000000,83000000,49,,,105000000000,40000000000,0.32,8800,,12605250000
Ductile,ANSI,Copper Alloy,Copper Alloy C40800,,290000000,90000000,43,,,105000000000,40000000000,0.32,8800,,9707250000
Ductile,ANSI,Copper Alloy,Copper Alloy C41100,,269000000,76000000,43,,,105000000000,40000000000,0.32,8800,,9707250000
